A.1.1-001 | Component 1 - Accessibility | A.1.1 Domain Naming Conventions and Uniform Resource Locators | #1 | Does the domain name end with.gov.jo? Are the departments and functions reflected as sub-domains? For example:
A.1.1-002 | Component 1 - Accessibility | A.1.1 Domain Naming Conventions and Uniform Resource Locators | #2 | eservices.modee.gov.jo, intranet.Modee.gov.jo”, “hr.modee.gov.jo”.
A.1.1-003 | Component 1 - Accessibility | A.1.1 Domain Naming Conventions and Uniform Resource Locators | #3 | Does the entity have short domain name convention? For example: www.modee.gov.jo.
A.1.1-004 | Component 1 - Accessibility | A.1.1 Domain Naming Conventions and Uniform Resource Locators | #4 | Does the entity have a long domain name convention? For example: www.digitaleconomic.gov.jo
A.1.1-005 | Component 1 - Accessibility | A.1.1 Domain Naming Conventions and Uniform Resource Locators | #5 | Does the entity have an Arabic domain name convention? For example: ‫ياألردن‬.‫الريادة‬-‫و‬-‫الرقمي‬-‫االقتصاد‬
A.1.1-006 | Component 1 - Accessibility | A.1.1 Domain Naming Conventions and Uniform Resource Locators | #6 | Is the domain name accessible through https? For example: https://modee.gov.jo
A.1.1-007 | Component 1 - Accessibility | A.1.1 Domain Naming Conventions and Uniform Resource Locators | #7 | Can the domain name be accessed with and without “www” prefix? For example: www.modee.gov.jo and modee.gov.jo
A.1.1-008 | Component 1 - Accessibility | A.1.1 Domain Naming Conventions and Uniform Resource Locators | #8 | Does the URL clearly reflect directories and webpages in Arabic and English? For example: www.modee.gov.jo/news, www.modee.gov.jo/‫االخبار‬
A.1.2-009 | Component 1 - Accessibility | A.1.2 Discoverability and Search Engine Optimization | #9 | Are website pages well linked, where each website page leads to where it is supposed to lead?
A.1.2-010 | Component 1 - Accessibility | A.1.2 Discoverability and Search Engine Optimization | #10 | Does the website have an XML sitemap?
A.1.2-011 | Component 1 - Accessibility | A.1.2 Discoverability and Search Engine Optimization | #11 | Do webpages contain Description Tags, Title Tags and Keywords Tags?
A.1.2-012 | Component 1 - Accessibility | A.1.2 Discoverability and Search Engine Optimization | #12 | Are Meta tags unique, meaningful, and relevant?
A.1.2-013 | Component 1 - Accessibility | A.1.2 Discoverability and Search Engine Optimization | #13 | Does graphical content have proper ALT-values?
A.1.2-014 | Component 1 - Accessibility | A.1.2 Discoverability and Search Engine Optimization | #14 | Are the page titles and headings easy-to-read and clear?
A.1.3-015 | Component 1 - Accessibility | A.1.3 Cross Browsing and Screen Resolution | #15 | Does the website support the below browsers at minimum? - Internet Explorer 11.0 and above - Microsoft Edge 40.0 and above - Firefox 60.0 and above - Safari 11.0 and above - Google Chrome 70.0 and above - Opera 57.0 and above
A.1.3-016 | Component 1 - Accessibility | A.1.3 Cross Browsing and Screen Resolution | #16 | Is the website best viewed at 1366x768 screen resolution?
A.1.4-017 | Component 1 - Accessibility | A.1.4 Access to Language | #17 | Is the website bilingual (Arabic and English) at minimum?
A.1.4-018 | Component 1 - Accessibility | A.1.4 Access to Language | #18 | Is Arabic the default language of the website?
