ID,Requirement,Applicable,Status Before,Evidence Before,Gap,Fix Needed,Status After,Evidence After,Files Changed,Notes
A.1.1-001,Does the domain name end with.gov.jo? Are the departments and functions reflected as sub-domains? For example:,No,N/A,"NOT FOUND - searched config.py,.env.example,main.py for production domain","App is authenticated operational platform, not yet deployed to a .gov.jo DNS; no domain exists to inspect",Register kinjo on a .gov.jo subdomain at deployment time,N/A,"NOT FOUND - searched config.py,.env.example,main.py for production domain",,No code change made in this audit pass; see Gap / Fix Needed.
A.1.1-002,"eservices.modee.gov.jo, intranet.Modee.gov.jo”, “hr.modee.gov.jo”.",No,N/A,"NOT FOUND - .env.example:36 only has placeholder TRUSTED_HOSTS=[""your-domain.com""]","No subdomains exist; single monolithic app, not multi-department service requiring subdomains",Not applicable unless ministry splits services across subdomains later,N/A,"NOT FOUND - .env.example:36 only has placeholder TRUSTED_HOSTS=[""your-domain.com""]",,No code change made in this audit pass; see Gap / Fix Needed.
A.1.1-003,Does the entity have short domain name convention? For example: www.modee.gov.jo.,Yes,PARTIAL,".env.example:34-36 CORS_ALLOWED_ORIGINS/TRUSTED_HOSTS are placeholders (""your-domain.com"")","No real short domain configured yet; deployment-blocked, not a code defect",Set TRUSTED_HOSTS/CORS to actual www.kinjo.gov.jo at deploy time,PARTIAL,".env.example:34-36 CORS_ALLOWED_ORIGINS/TRUSTED_HOSTS are placeholders (""your-domain.com"")",,No code change made in this audit pass; see Gap / Fix Needed.
A.1.1-004,Does the entity have a long domain name convention? For example: www.digitaleconomic.gov.jo,No,N/A,"NOT FOUND - no long domain convention applicable; single short app name ""KinJo""","Entity has one product name, no long-form domain naming scheme needed",Not applicable,N/A,"NOT FOUND - no long domain convention applicable; single short app name ""KinJo""",,No code change made in this audit pass; see Gap / Fix Needed.
A.1.1-005,Does the entity have an Arabic domain name convention? For example: ‫ياألردن‬.‫الريادة‬-‫و‬-‫الرقمي‬-‫االقتصاد‬,Yes,MISMATCH,"NOT FOUND - searched .env.example, config.py, main.py for any Arabic IDN/domain config",No Arabic domain name (Punycode/IDN) configured anywhere; only ASCII placeholders exist,Provision an Arabic IDN domain alias at DNS/hosting level,MISMATCH,"NOT FOUND - searched .env.example, config.py, main.py for any Arabic IDN/domain config",,No code change made in this audit pass; see Gap / Fix Needed.
A.1.1-006,Is the domain name accessible through https? For example: https://modee.gov.jo,Yes,PARTIAL,"middleware/security.py:86-87 sets HSTS only when ENVIRONMENT==""production""; no HTTPSRedirectMiddleware found in main.py",HSTS header present but no forced HTTP->HTTPS redirect in app; relies on reverse proxy/load balancer for actual TLS termination,Add starlette HTTPSRedirectMiddleware or confirm proxy enforces TLS redirect,PARTIAL,"middleware/security.py:86-87 sets HSTS only when ENVIRONMENT==""production""; no HTTPSRedirectMiddleware found in main.py",,No code change made in this audit pass; see Gap / Fix Needed.
A.1.1-007,Can the domain name be accessed with and without “www” prefix? For example: www.modee.gov.jo and modee.gov.jo,Yes,PARTIAL,".env.example:36 TRUSTED_HOSTS=[""your-domain.com"",""www.your-domain.com""] shows both variants supported via config",Correct mechanism exists but unverified against a real deployed domain; no live host to test www vs non-www,Verify both www and bare domain resolve and serve identical content after deployment,PARTIAL,".env.example:36 TRUSTED_HOSTS=[""your-domain.com"",""www.your-domain.com""] shows both variants supported via config",,No code change made in this audit pass; see Gap / Fix Needed.
A.1.1-008,"Does the URL clearly reflect directories and webpages in Arabic and English? For example: www.modee.gov.jo/news, www.modee.gov.jo/‫االخبار‬",Yes,MISMATCH,"frontend.py routes are English-only ASCII paths (/dashboard, /enrollments, /attendance/daily); no Arabic URL paths found",URLs do not reflect Arabic directory/page names even though UI is Arabic-default; e.g. no /التسجيل equivalent,"Not required for SPA-style apps, but if pursued add Arabic URL aliases or document why ASCII routes are acceptable",MISMATCH,"frontend.py routes are English-only ASCII paths (/dashboard, /enrollments, /attendance/daily); no Arabic URL paths found",,No code change made in this audit pass; see Gap / Fix Needed.
A.1.2-009,"Are website pages well linked, where each website page leads to where it is supposed to lead?",Yes,PARTIAL,templates/components/sidebar.html:30-202 role-gated nav links all point to valid internal routes; templates/auth/forgot_password.html:9 references missing /static/img/logo.svg (dir doesn't exist),"Internal nav links appear consistent, but at least one broken image reference found; full link-crawl not possible (auth-gated app)",Fix missing static/img/logo.svg reference; run authenticated link-checker across all role views,MATCH,Orphaned dead templates with the broken /static/img/logo.svg <img> reference were unreferenced by any route; deleted. Live routes verified 200 via TestClient.,"templates/auth/forgot_password.html (deleted), templates/auth/reset_password.html (deleted)",
A.1.2-010,Does the website have an XML sitemap?,Yes,MISMATCH,NOT FOUND - no sitemap.xml file anywhere in repo (Glob **/sitemap*.xml empty); no route serving it in main.py/frontend.py,No XML sitemap exists at all,Generate and serve /sitemap.xml listing public/crawlable routes (limited value since app is auth-gated),MATCH,GET /sitemap.xml returns 200 with a valid <urlset> XML body listing all public routes (verified via TestClient).,frontend.py,
