A.1.1-001|N/A|NOT FOUND - searched config.py,.env.example,main.py for production domain|App is authenticated operational platform, not yet deployed to a .gov.jo DNS; no domain exists to inspect|Register kinjo on a .gov.jo subdomain at deployment time
A.1.1-002|N/A|NOT FOUND - .env.example:36 only has placeholder TRUSTED_HOSTS=["your-domain.com"]|No subdomains exist; single monolithic app, not multi-department service requiring subdomains|Not applicable unless ministry splits services across subdomains later
A.1.1-003|PARTIAL|.env.example:34-36 CORS_ALLOWED_ORIGINS/TRUSTED_HOSTS are placeholders ("your-domain.com")|No real short domain configured yet; deployment-blocked, not a code defect|Set TRUSTED_HOSTS/CORS to actual www.kinjo.gov.jo at deploy time
A.1.1-004|N/A|NOT FOUND - no long domain convention applicable; single short app name "KinJo"|Entity has one product name, no long-form domain naming scheme needed|Not applicable
A.1.1-005|MISMATCH|NOT FOUND - searched .env.example, config.py, main.py for any Arabic IDN/domain config|No Arabic domain name (Punycode/IDN) configured anywhere; only ASCII placeholders exist|Provision an Arabic IDN domain alias at DNS/hosting level
A.1.1-006|PARTIAL|middleware/security.py:86-87 sets HSTS only when ENVIRONMENT=="production"; no HTTPSRedirectMiddleware found in main.py|HSTS header present but no forced HTTP->HTTPS redirect in app; relies on reverse proxy/load balancer for actual TLS termination|Add starlette HTTPSRedirectMiddleware or confirm proxy enforces TLS redirect
A.1.1-007|PARTIAL|.env.example:36 TRUSTED_HOSTS=["your-domain.com","www.your-domain.com"] shows both variants supported via config|Correct mechanism exists but unverified against a real deployed domain; no live host to test www vs non-www|Verify both www and bare domain resolve and serve identical content after deployment
A.1.1-008|MISMATCH|frontend.py routes are English-only ASCII paths (/dashboard, /enrollments, /attendance/daily); no Arabic URL paths found|URLs do not reflect Arabic directory/page names even though UI is Arabic-default; e.g. no /التسجيل equivalent|Not required for SPA-style apps, but if pursued add Arabic URL aliases or document why ASCII routes are acceptable
A.1.2-009|PARTIAL|templates/components/sidebar.html:30-202 role-gated nav links all point to valid internal routes; templates/auth/forgot_password.html:9 references missing /static/img/logo.svg (dir doesn't exist)|Internal nav links appear consistent, but at least one broken image reference found; full link-crawl not possible (auth-gated app)|Fix missing static/img/logo.svg reference; run authenticated link-checker across all role views
A.1.2-010|MISMATCH|NOT FOUND - no sitemap.xml file anywhere in repo (Glob **/sitemap*.xml empty); no route serving it in main.py/frontend.py|No XML sitemap exists at all|Generate and serve /sitemap.xml listing public/crawlable routes (limited value since app is auth-gated)
A.1.2-011|PARTIAL|templates/base.html:14-26 has meta description + title block; NO meta name="keywords" found anywhere (grep across templates and static/js empty except false-positive in JS)|Description and Title tags exist; Keywords tag entirely missing site-wide|Add meta keywords tag to base.html head (or document why omitted per modern SEO practice)
